"date","category_grouped","outbreak_subgroup","TOTAL_CASES"
"2022-01-14","1 Congregate Care","HOSPITAL",181
"2022-01-14","1 Congregate Care","LONG-TERM CARE HOME",753
"2022-01-14","1 Congregate Care","RETIREMENT HOME",247
"2022-01-14","2 Congregate Living","CONGREGATE OTHER",19
"2022-01-14","2 Congregate Living","CORRECTIONAL FACILITY",58
"2022-01-14","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",129
"2022-01-14","2 Congregate Living","SHELTER",71
"2022-01-14","3 Education","SCHOOL - ELEMENTARY",1
"2022-01-14","3 Education","SCHOOL - SECONDARY",1
"2022-01-14","4 Workplace","MEDICAL/HEALTH SERVICE",2
"2022-01-14","4 Workplace","RETAIL",1
"2022-01-14","4 Workplace","WORKPLACE - FARM",5
"2022-01-14","4 Workplace","WORKPLACE - OTHER",6
"2022-01-15","1 Congregate Care","HOSPITAL",140
"2022-01-15","1 Congregate Care","LONG-TERM CARE HOME",819
"2022-01-15","1 Congregate Care","RETIREMENT HOME",247
"2022-01-15","2 Congregate Living","CONGREGATE OTHER",22
"2022-01-15","2 Congregate Living","CORRECTIONAL FACILITY",80
"2022-01-15","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",124
"2022-01-15","2 Congregate Living","SHELTER",49
"2022-01-15","3 Education","SCHOOL - ELEMENTARY",1
"2022-01-15","3 Education","SCHOOL - SECONDARY",1
"2022-01-15","4 Workplace","MEDICAL/HEALTH SERVICE",1
"2022-01-15","4 Workplace","WORKPLACE - FARM",2
"2022-01-15","4 Workplace","WORKPLACE - OTHER",2
"2022-01-15","6 Other/Unknown","OTHER",1
"2022-01-16","1 Congregate Care","HOSPITAL",111
"2022-01-16","1 Congregate Care","LONG-TERM CARE HOME",600
"2022-01-16","1 Congregate Care","RETIREMENT HOME",228
"2022-01-16","2 Congregate Living","CONGREGATE OTHER",34
"2022-01-16","2 Congregate Living","CORRECTIONAL FACILITY",57
"2022-01-16","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",87
"2022-01-16","2 Congregate Living","SHELTER",28
"2022-01-16","3 Education","CHILD CARE",2
"2022-01-16","3 Education","SCHOOL - SECONDARY",1
"2022-01-16","4 Workplace","MEDICAL/HEALTH SERVICE",1
"2022-01-16","4 Workplace","WORKPLACE - FARM",1
"2022-01-16","4 Workplace","WORKPLACE - OTHER",1
"2022-01-17","1 Congregate Care","HOSPITAL",120
"2022-01-17","1 Congregate Care","LONG-TERM CARE HOME",428
"2022-01-17","1 Congregate Care","RETIREMENT HOME",129
"2022-01-17","2 Congregate Living","CONGREGATE OTHER",16
"2022-01-17","2 Congregate Living","CORRECTIONAL FACILITY",67
"2022-01-17","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",65
"2022-01-17","2 Congregate Living","SHELTER",47
"2022-01-17","3 Education","CHILD CARE",1
"2022-01-17","4 Workplace","WORKPLACE - FARM",1
"2022-01-17","4 Workplace","WORKPLACE - OTHER",1
"2022-01-18","1 Congregate Care","HOSPITAL",128
"2022-01-18","1 Congregate Care","LONG-TERM CARE HOME",543
"2022-01-18","1 Congregate Care","RETIREMENT HOME",177
"2022-01-18","2 Congregate Living","CONGREGATE OTHER",55
"2022-01-18","2 Congregate Living","CORRECTIONAL FACILITY",27
"2022-01-18","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",80
"2022-01-18","2 Congregate Living","SHELTER",44
"2022-01-18","3 Education","CHILD CARE",1
"2022-01-18","4 Workplace","MEDICAL/HEALTH SERVICE",2
"2022-01-18","4 Workplace","RETAIL",2
"2022-01-18","4 Workplace","WORKPLACE - FARM",7
"2022-01-18","4 Workplace","WORKPLACE - FOOD PROCESSING",1
"2022-01-18","4 Workplace","WORKPLACE - OTHER",2
"2022-01-18","5 Recreational","OTHER RECREATION",3
"2022-01-19","1 Congregate Care","HOSPITAL",166
"2022-01-19","1 Congregate Care","LONG-TERM CARE HOME",654
"2022-01-19","1 Congregate Care","RETIREMENT HOME",228
"2022-01-19","2 Congregate Living","CONGREGATE OTHER",28
"2022-01-19","2 Congregate Living","CORRECTIONAL FACILITY",39
"2022-01-19","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",89
"2022-01-19","2 Congregate Living","SHELTER",43
"2022-01-19","3 Education","CHILD CARE",2
"2022-01-19","4 Workplace","WORKPLACE - FARM",16
"2022-01-19","4 Workplace","WORKPLACE - OTHER",3
"2022-01-19","6 Other/Unknown","OTHER",1
"2022-01-20","1 Congregate Care","HOSPITAL",147
"2022-01-20","1 Congregate Care","LONG-TERM CARE HOME",671
"2022-01-20","1 Congregate Care","RETIREMENT HOME",255
"2022-01-20","2 Congregate Living","CONGREGATE OTHER",31
"2022-01-20","2 Congregate Living","CORRECTIONAL FACILITY",64
"2022-01-20","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",101
"2022-01-20","2 Congregate Living","SHELTER",80
"2022-01-20","2 Congregate Living","SHORT-TERM ACCOMMODATIONS",1
"2022-01-20","3 Education","CHILD CARE",2
"2022-01-20","4 Workplace","WORKPLACE - FARM",7
"2022-01-20","4 Workplace","WORKPLACE - OTHER",6
"2022-01-21","1 Congregate Care","HOSPITAL",92
"2022-01-21","1 Congregate Care","LONG-TERM CARE HOME",593
"2022-01-21","1 Congregate Care","RETIREMENT HOME",179
"2022-01-21","2 Congregate Living","CONGREGATE OTHER",7
"2022-01-21","2 Congregate Living","CORRECTIONAL FACILITY",118
"2022-01-21","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",49
"2022-01-21","2 Congregate Living","SHELTER",46
"2022-01-21","3 Education","SCHOOL - SECONDARY",1
"2022-01-21","4 Workplace","WORKPLACE - FARM",8
"2022-01-22","1 Congregate Care","HOSPITAL",97
"2022-01-22","1 Congregate Care","LONG-TERM CARE HOME",567
"2022-01-22","1 Congregate Care","RETIREMENT HOME",282
"2022-01-22","2 Congregate Living","CONGREGATE OTHER",24
"2022-01-22","2 Congregate Living","CORRECTIONAL FACILITY",150
"2022-01-22","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",74
"2022-01-22","2 Congregate Living","SHELTER",50
"2022-01-22","2 Congregate Living","SHORT-TERM ACCOMMODATIONS",1
"2022-01-22","3 Education","CHILD CARE",3
"2022-01-22","4 Workplace","WORKPLACE - FARM",14
"2022-01-22","4 Workplace","WORKPLACE - OTHER",2
"2022-01-22","6 Other/Unknown","OTHER",1
"2022-01-23","1 Congregate Care","HOSPITAL",79
"2022-01-23","1 Congregate Care","LONG-TERM CARE HOME",274
"2022-01-23","1 Congregate Care","RETIREMENT HOME",111
"2022-01-23","2 Congregate Living","CONGREGATE OTHER",11
"2022-01-23","2 Congregate Living","CORRECTIONAL FACILITY",61
"2022-01-23","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",23
"2022-01-23","2 Congregate Living","SHELTER",19
"2022-01-23","2 Congregate Living","SHORT-TERM ACCOMMODATIONS",1
"2022-01-23","4 Workplace","WORKPLACE - FARM",7
"2022-01-24","1 Congregate Care","HOSPITAL",101
"2022-01-24","1 Congregate Care","LONG-TERM CARE HOME",393
"2022-01-24","1 Congregate Care","RETIREMENT HOME",136
"2022-01-24","2 Congregate Living","CONGREGATE OTHER",29
"2022-01-24","2 Congregate Living","CORRECTIONAL FACILITY",95
"2022-01-24","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",33
"2022-01-24","2 Congregate Living","SHELTER",15
"2022-01-24","2 Congregate Living","SHORT-TERM ACCOMMODATIONS",1
"2022-01-24","4 Workplace","WORKPLACE - FARM",6
"2022-01-24","5 Recreational","OTHER RECREATION",1
"2022-01-24","6 Other/Unknown","OTHER",1
"2022-01-25","1 Congregate Care","HOSPITAL",124
"2022-01-25","1 Congregate Care","LONG-TERM CARE HOME",387
"2022-01-25","1 Congregate Care","RETIREMENT HOME",141
"2022-01-25","2 Congregate Living","CONGREGATE OTHER",25
"2022-01-25","2 Congregate Living","CORRECTIONAL FACILITY",60
"2022-01-25","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",50
"2022-01-25","2 Congregate Living","SHELTER",35
"2022-01-25","3 Education","CHILD CARE",1
"2022-01-25","4 Workplace","WORKPLACE - FARM",4
"2022-01-25","4 Workplace","WORKPLACE - OTHER",2
"2022-01-26","1 Congregate Care","HOSPITAL",117
"2022-01-26","1 Congregate Care","LONG-TERM CARE HOME",540
"2022-01-26","1 Congregate Care","RETIREMENT HOME",249
"2022-01-26","2 Congregate Living","CONGREGATE OTHER",30
"2022-01-26","2 Congregate Living","CORRECTIONAL FACILITY",142
"2022-01-26","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",88
"2022-01-26","2 Congregate Living","SHELTER",34
"2022-01-26","3 Education","CHILD CARE",1
"2022-01-26","3 Education","SCHOOL - ELEMENTARY",4
"2022-01-26","4 Workplace","WORKPLACE - FARM",29
"2022-01-26","4 Workplace","WORKPLACE - OTHER",1
"2022-01-27","1 Congregate Care","HOSPITAL",115
"2022-01-27","1 Congregate Care","LONG-TERM CARE HOME",529
"2022-01-27","1 Congregate Care","RETIREMENT HOME",193
"2022-01-27","2 Congregate Living","CONGREGATE OTHER",30
"2022-01-27","2 Congregate Living","CORRECTIONAL FACILITY",70
"2022-01-27","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",57
"2022-01-27","2 Congregate Living","SHELTER",24
"2022-01-27","3 Education","CHILD CARE",5
"2022-01-27","3 Education","SCHOOL - ELEMENTARY",1
"2022-01-27","4 Workplace","WORKPLACE - FARM",14
"2022-01-27","4 Workplace","WORKPLACE - OTHER",1
"2022-01-27","6 Other/Unknown","OTHER",1
"2022-01-28","1 Congregate Care","HOSPITAL",118
"2022-01-28","1 Congregate Care","LONG-TERM CARE HOME",371
"2022-01-28","1 Congregate Care","RETIREMENT HOME",158
"2022-01-28","2 Congregate Living","CONGREGATE OTHER",4
"2022-01-28","2 Congregate Living","CORRECTIONAL FACILITY",85
"2022-01-28","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",42
"2022-01-28","2 Congregate Living","SHELTER",12
"2022-01-28","3 Education","CHILD CARE",1
"2022-01-28","3 Education","SCHOOL - ELEMENTARY",2
"2022-01-28","4 Workplace","WORKPLACE - FARM",3
"2022-01-28","6 Other/Unknown","OTHER",1
"2022-01-29","1 Congregate Care","HOSPITAL",52
"2022-01-29","1 Congregate Care","LONG-TERM CARE HOME",287
"2022-01-29","1 Congregate Care","RETIREMENT HOME",114
"2022-01-29","2 Congregate Living","CONGREGATE OTHER",4
"2022-01-29","2 Congregate Living","CORRECTIONAL FACILITY",41
"2022-01-29","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",35
"2022-01-29","2 Congregate Living","SHELTER",10
"2022-01-29","3 Education","CHILD CARE",1
"2022-01-29","4 Workplace","WORKPLACE - FARM",1
"2022-01-30","1 Congregate Care","HOSPITAL",55
"2022-01-30","1 Congregate Care","LONG-TERM CARE HOME",181
"2022-01-30","1 Congregate Care","RETIREMENT HOME",75
"2022-01-30","2 Congregate Living","CONGREGATE OTHER",4
"2022-01-30","2 Congregate Living","CORRECTIONAL FACILITY",34
"2022-01-30","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",18
"2022-01-30","2 Congregate Living","SHELTER",4
"2022-01-30","3 Education","CHILD CARE",1
"2022-01-30","3 Education","SCHOOL - ELEMENTARY",2
"2022-01-30","4 Workplace","WORKPLACE - FARM",1
"2022-01-30","4 Workplace","WORKPLACE - OTHER",2
"2022-01-31","1 Congregate Care","HOSPITAL",66
"2022-01-31","1 Congregate Care","LONG-TERM CARE HOME",190
"2022-01-31","1 Congregate Care","RETIREMENT HOME",84
"2022-01-31","2 Congregate Living","CONGREGATE OTHER",4
"2022-01-31","2 Congregate Living","CORRECTIONAL FACILITY",48
"2022-01-31","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",32
"2022-01-31","2 Congregate Living","SHELTER",10
"2022-01-31","3 Education","CHILD CARE",1
"2022-01-31","4 Workplace","WORKPLACE - FARM",2
"2022-01-31","4 Workplace","WORKPLACE - OTHER",1
"2022-02-01","1 Congregate Care","HOSPITAL",70
"2022-02-01","1 Congregate Care","LONG-TERM CARE HOME",313
"2022-02-01","1 Congregate Care","RETIREMENT HOME",113
"2022-02-01","2 Congregate Living","CONGREGATE OTHER",6
"2022-02-01","2 Congregate Living","CORRECTIONAL FACILITY",56
"2022-02-01","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",35
"2022-02-01","2 Congregate Living","SHELTER",9
"2022-02-01","3 Education","CHILD CARE",3
"2022-02-01","3 Education","SCHOOL - ELEMENTARY",1
"2022-02-01","4 Workplace","WORKPLACE - FARM",3
"2022-02-01","4 Workplace","WORKPLACE - OTHER",4
"2022-02-01","6 Other/Unknown","OTHER",1
"2022-02-02","1 Congregate Care","HOSPITAL",57
"2022-02-02","1 Congregate Care","LONG-TERM CARE HOME",364
"2022-02-02","1 Congregate Care","RETIREMENT HOME",177
"2022-02-02","2 Congregate Living","CONGREGATE OTHER",11
"2022-02-02","2 Congregate Living","CORRECTIONAL FACILITY",62
"2022-02-02","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",45
"2022-02-02","2 Congregate Living","SHELTER",16
"2022-02-02","3 Education","CHILD CARE",3
"2022-02-02","3 Education","SCHOOL - ELEMENTARY/SECONDARY",3
"2022-02-02","4 Workplace","WORKPLACE - FARM",1
"2022-02-02","4 Workplace","WORKPLACE - OTHER",2
"2022-02-02","6 Other/Unknown","OTHER",1
"2022-02-03","1 Congregate Care","HOSPITAL",73
"2022-02-03","1 Congregate Care","LONG-TERM CARE HOME",242
"2022-02-03","1 Congregate Care","RETIREMENT HOME",91
"2022-02-03","2 Congregate Living","CONGREGATE OTHER",11
"2022-02-03","2 Congregate Living","CORRECTIONAL FACILITY",63
"2022-02-03","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",27
"2022-02-03","2 Congregate Living","SHELTER",10
"2022-02-03","3 Education","CHILD CARE",4
"2022-02-03","3 Education","SCHOOL - ELEMENTARY",1
"2022-02-03","4 Workplace","WORKPLACE - FARM",2
"2022-02-03","4 Workplace","WORKPLACE - OTHER",2
"2022-02-04","1 Congregate Care","HOSPITAL",44
"2022-02-04","1 Congregate Care","LONG-TERM CARE HOME",197
"2022-02-04","1 Congregate Care","RETIREMENT HOME",126
"2022-02-04","2 Congregate Living","CONGREGATE OTHER",5
"2022-02-04","2 Congregate Living","CORRECTIONAL FACILITY",27
"2022-02-04","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",40
"2022-02-04","2 Congregate Living","SHELTER",16
"2022-02-04","4 Workplace","WORKPLACE - FARM",5
"2022-02-04","4 Workplace","WORKPLACE - OTHER",4
"2022-02-05","1 Congregate Care","HOSPITAL",43
"2022-02-05","1 Congregate Care","LONG-TERM CARE HOME",125
"2022-02-05","1 Congregate Care","RETIREMENT HOME",43
"2022-02-05","2 Congregate Living","CONGREGATE OTHER",3
"2022-02-05","2 Congregate Living","CORRECTIONAL FACILITY",36
"2022-02-05","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",36
"2022-02-05","2 Congregate Living","SHELTER",5
"2022-02-05","4 Workplace","WORKPLACE - OTHER",2
"2022-02-06","1 Congregate Care","HOSPITAL",24
"2022-02-06","1 Congregate Care","LONG-TERM CARE HOME",105
"2022-02-06","1 Congregate Care","RETIREMENT HOME",48
"2022-02-06","2 Congregate Living","CONGREGATE OTHER",7
"2022-02-06","2 Congregate Living","CORRECTIONAL FACILITY",33
"2022-02-06","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",34
"2022-02-06","2 Congregate Living","SHELTER",10
"2022-02-06","4 Workplace","WORKPLACE - OTHER",1
"2022-02-07","1 Congregate Care","HOSPITAL",49
"2022-02-07","1 Congregate Care","LONG-TERM CARE HOME",77
"2022-02-07","1 Congregate Care","RETIREMENT HOME",32
"2022-02-07","2 Congregate Living","CONGREGATE OTHER",9
"2022-02-07","2 Congregate Living","CORRECTIONAL FACILITY",13
"2022-02-07","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",20
"2022-02-07","2 Congregate Living","SHELTER",14
"2022-02-07","3 Education","CHILD CARE",5
"2022-02-07","4 Workplace","WORKPLACE - OTHER",1
"2022-02-08","1 Congregate Care","HOSPITAL",29
"2022-02-08","1 Congregate Care","LONG-TERM CARE HOME",175
"2022-02-08","1 Congregate Care","RETIREMENT HOME",75
"2022-02-08","2 Congregate Living","CONGREGATE OTHER",47
"2022-02-08","2 Congregate Living","CORRECTIONAL FACILITY",14
"2022-02-08","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",47
"2022-02-08","2 Congregate Living","SHELTER",20
"2022-02-08","4 Workplace","WORKPLACE - OTHER",1
"2022-02-09","1 Congregate Care","HOSPITAL",38
"2022-02-09","1 Congregate Care","LONG-TERM CARE HOME",167
"2022-02-09","1 Congregate Care","RETIREMENT HOME",48
"2022-02-09","2 Congregate Living","CONGREGATE OTHER",9
"2022-02-09","2 Congregate Living","CORRECTIONAL FACILITY",61
"2022-02-09","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",12
"2022-02-09","2 Congregate Living","SHELTER",8
"2022-02-09","4 Workplace","WORKPLACE - OTHER",5
"2022-02-10","1 Congregate Care","HOSPITAL",22
"2022-02-10","1 Congregate Care","LONG-TERM CARE HOME",132
"2022-02-10","1 Congregate Care","RETIREMENT HOME",45
"2022-02-10","2 Congregate Living","CONGREGATE OTHER",30
"2022-02-10","2 Congregate Living","CORRECTIONAL FACILITY",35
"2022-02-10","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",20
"2022-02-10","2 Congregate Living","SHELTER",14
"2022-02-10","3 Education","CHILD CARE",1
"2022-02-11","1 Congregate Care","HOSPITAL",28
"2022-02-11","1 Congregate Care","LONG-TERM CARE HOME",120
"2022-02-11","1 Congregate Care","RETIREMENT HOME",37
"2022-02-11","2 Congregate Living","CONGREGATE OTHER",34
"2022-02-11","2 Congregate Living","CORRECTIONAL FACILITY",33
"2022-02-11","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",20
"2022-02-11","2 Congregate Living","SHELTER",22
"2022-02-11","4 Workplace","WORKPLACE - FARM",3
"2022-02-12","1 Congregate Care","HOSPITAL",18
"2022-02-12","1 Congregate Care","LONG-TERM CARE HOME",58
"2022-02-12","1 Congregate Care","RETIREMENT HOME",56
"2022-02-12","2 Congregate Living","CONGREGATE OTHER",3
"2022-02-12","2 Congregate Living","CORRECTIONAL FACILITY",11
"2022-02-12","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",14
"2022-02-12","2 Congregate Living","SHELTER",4
"2022-02-12","4 Workplace","WORKPLACE - FARM",1
"2022-02-13","1 Congregate Care","HOSPITAL",18
"2022-02-13","1 Congregate Care","LONG-TERM CARE HOME",46
"2022-02-13","1 Congregate Care","RETIREMENT HOME",51
"2022-02-13","2 Congregate Living","CONGREGATE OTHER",5
"2022-02-13","2 Congregate Living","CORRECTIONAL FACILITY",3
"2022-02-13","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",6
"2022-02-13","2 Congregate Living","SHELTER",2
"2022-02-14","1 Congregate Care","HOSPITAL",17
"2022-02-14","1 Congregate Care","LONG-TERM CARE HOME",50
"2022-02-14","1 Congregate Care","RETIREMENT HOME",23
"2022-02-14","2 Congregate Living","CONGREGATE OTHER",9
"2022-02-14","2 Congregate Living","CORRECTIONAL FACILITY",14
"2022-02-14","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",4
"2022-02-14","2 Congregate Living","SHELTER",4
"2022-02-14","4 Workplace","WORKPLACE - OTHER",1
"2022-02-15","1 Congregate Care","HOSPITAL",15
"2022-02-15","1 Congregate Care","LONG-TERM CARE HOME",87
"2022-02-15","1 Congregate Care","RETIREMENT HOME",48
"2022-02-15","2 Congregate Living","CONGREGATE OTHER",6
"2022-02-15","2 Congregate Living","CORRECTIONAL FACILITY",24
"2022-02-15","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",5
"2022-02-15","2 Congregate Living","SHELTER",3
"2022-02-15","4 Workplace","WORKPLACE - OTHER",2
"2022-02-16","1 Congregate Care","HOSPITAL",16
"2022-02-16","1 Congregate Care","LONG-TERM CARE HOME",38
"2022-02-16","1 Congregate Care","RETIREMENT HOME",79
"2022-02-16","2 Congregate Living","CONGREGATE OTHER",25
"2022-02-16","2 Congregate Living","CORRECTIONAL FACILITY",27
"2022-02-16","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",16
"2022-02-16","2 Congregate Living","SHELTER",2
"2022-02-16","4 Workplace","WORKPLACE - FARM",1
"2022-02-17","1 Congregate Care","HOSPITAL",15
"2022-02-17","1 Congregate Care","LONG-TERM CARE HOME",118
"2022-02-17","1 Congregate Care","RETIREMENT HOME",65
"2022-02-17","2 Congregate Living","CONGREGATE OTHER",3
"2022-02-17","2 Congregate Living","CORRECTIONAL FACILITY",29
"2022-02-17","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",29
"2022-02-17","2 Congregate Living","SHELTER",5
"2022-02-17","4 Workplace","WORKPLACE - OTHER",1
"2022-02-18","1 Congregate Care","HOSPITAL",24
"2022-02-18","1 Congregate Care","LONG-TERM CARE HOME",57
"2022-02-18","1 Congregate Care","RETIREMENT HOME",58
"2022-02-18","2 Congregate Living","CONGREGATE OTHER",7
"2022-02-18","2 Congregate Living","CORRECTIONAL FACILITY",11
"2022-02-18","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",25
"2022-02-18","2 Congregate Living","SHELTER",1
"2022-02-19","1 Congregate Care","HOSPITAL",14
"2022-02-19","1 Congregate Care","LONG-TERM CARE HOME",62
"2022-02-19","1 Congregate Care","RETIREMENT HOME",60
"2022-02-19","2 Congregate Living","CONGREGATE OTHER",5
"2022-02-19","2 Congregate Living","CORRECTIONAL FACILITY",18
"2022-02-19","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",13
"2022-02-19","2 Congregate Living","SHELTER",4
"2022-02-20","1 Congregate Care","HOSPITAL",11
"2022-02-20","1 Congregate Care","LONG-TERM CARE HOME",31
"2022-02-20","1 Congregate Care","RETIREMENT HOME",37
"2022-02-20","2 Congregate Living","CONGREGATE OTHER",10
"2022-02-20","2 Congregate Living","CORRECTIONAL FACILITY",3
"2022-02-20","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",7
"2022-02-20","4 Workplace","WORKPLACE - FOOD PROCESSING",1
"2022-02-21","1 Congregate Care","HOSPITAL",24
"2022-02-21","1 Congregate Care","LONG-TERM CARE HOME",28
"2022-02-21","1 Congregate Care","RETIREMENT HOME",6
"2022-02-21","2 Congregate Living","CONGREGATE OTHER",3
"2022-02-21","2 Congregate Living","CORRECTIONAL FACILITY",12
"2022-02-21","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",8
"2022-02-21","2 Congregate Living","SHELTER",1
"2022-02-21","4 Workplace","WORKPLACE - FARM",1
"2022-02-22","1 Congregate Care","HOSPITAL",21
"2022-02-22","1 Congregate Care","LONG-TERM CARE HOME",61
"2022-02-22","1 Congregate Care","RETIREMENT HOME",32
"2022-02-22","2 Congregate Living","CONGREGATE OTHER",14
"2022-02-22","2 Congregate Living","CORRECTIONAL FACILITY",18
"2022-02-22","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",12
"2022-02-22","2 Congregate Living","SHELTER",4
"2022-02-22","4 Workplace","WORKPLACE - FARM",4
"2022-02-22","4 Workplace","WORKPLACE - OTHER",5
"2022-02-23","1 Congregate Care","HOSPITAL",18
"2022-02-23","1 Congregate Care","LONG-TERM CARE HOME",49
"2022-02-23","1 Congregate Care","RETIREMENT HOME",71
"2022-02-23","2 Congregate Living","CONGREGATE OTHER",16
"2022-02-23","2 Congregate Living","CORRECTIONAL FACILITY",11
"2022-02-23","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",29
"2022-02-23","2 Congregate Living","SHELTER",7
"2022-02-23","4 Workplace","WORKPLACE - FARM",8
"2022-02-23","4 Workplace","WORKPLACE - OTHER",1
"2022-02-24","1 Congregate Care","HOSPITAL",21
"2022-02-24","1 Congregate Care","LONG-TERM CARE HOME",57
"2022-02-24","1 Congregate Care","RETIREMENT HOME",33
"2022-02-24","2 Congregate Living","CONGREGATE OTHER",8
"2022-02-24","2 Congregate Living","CORRECTIONAL FACILITY",5
"2022-02-24","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",38
"2022-02-24","2 Congregate Living","SHELTER",4
"2022-02-24","4 Workplace","WORKPLACE - FARM",1
"2022-02-24","4 Workplace","WORKPLACE - OTHER",2
"2022-02-25","1 Congregate Care","HOSPITAL",20
"2022-02-25","1 Congregate Care","LONG-TERM CARE HOME",47
"2022-02-25","1 Congregate Care","RETIREMENT HOME",41
"2022-02-25","2 Congregate Living","CONGREGATE OTHER",9
"2022-02-25","2 Congregate Living","CORRECTIONAL FACILITY",14
"2022-02-25","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",6
"2022-02-25","2 Congregate Living","SHELTER",8
"2022-02-25","4 Workplace","WORKPLACE - OTHER",2
"2022-02-26","1 Congregate Care","HOSPITAL",17
"2022-02-26","1 Congregate Care","LONG-TERM CARE HOME",41
"2022-02-26","1 Congregate Care","RETIREMENT HOME",29
"2022-02-26","2 Congregate Living","CONGREGATE OTHER",4
"2022-02-26","2 Congregate Living","CORRECTIONAL FACILITY",3
"2022-02-26","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",9
"2022-02-26","2 Congregate Living","SHELTER",4
"2022-02-26","4 Workplace","WORKPLACE - OTHER",2
"2022-02-27","1 Congregate Care","HOSPITAL",8
"2022-02-27","1 Congregate Care","LONG-TERM CARE HOME",22
"2022-02-27","1 Congregate Care","RETIREMENT HOME",7
"2022-02-27","2 Congregate Living","CONGREGATE OTHER",4
"2022-02-27","2 Congregate Living","CORRECTIONAL FACILITY",4
"2022-02-27","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",8
"2022-02-28","1 Congregate Care","HOSPITAL",6
"2022-02-28","1 Congregate Care","LONG-TERM CARE HOME",37
"2022-02-28","1 Congregate Care","RETIREMENT HOME",9
"2022-02-28","2 Congregate Living","CONGREGATE OTHER",3
"2022-02-28","2 Congregate Living","CORRECTIONAL FACILITY",31
"2022-02-28","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",7
"2022-03-01","1 Congregate Care","HOSPITAL",15
"2022-03-01","1 Congregate Care","LONG-TERM CARE HOME",43
"2022-03-01","1 Congregate Care","RETIREMENT HOME",18
"2022-03-01","2 Congregate Living","CONGREGATE OTHER",8
"2022-03-01","2 Congregate Living","CORRECTIONAL FACILITY",11
"2022-03-01","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",24
"2022-03-01","3 Education","CHILD CARE",1
"2022-03-02","1 Congregate Care","HOSPITAL",14
"2022-03-02","1 Congregate Care","LONG-TERM CARE HOME",57
"2022-03-02","1 Congregate Care","RETIREMENT HOME",32
"2022-03-02","2 Congregate Living","CONGREGATE OTHER",14
"2022-03-02","2 Congregate Living","CORRECTIONAL FACILITY",10
"2022-03-02","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",16
"2022-03-02","2 Congregate Living","SHELTER",2
"2022-03-03","1 Congregate Care","HOSPITAL",16
"2022-03-03","1 Congregate Care","LONG-TERM CARE HOME",52
"2022-03-03","1 Congregate Care","RETIREMENT HOME",45
"2022-03-03","2 Congregate Living","CONGREGATE OTHER",2
"2022-03-03","2 Congregate Living","CORRECTIONAL FACILITY",8
